,Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Club,League,Country,Height(cm),Weight(kg),Body Type
10140,Musa Çağıran,68,CDM,Normal,1300.0,3,4,M \ M,60,68,65,68,67,76,1,404,1963,Konyaspor,Süper Lig (TUR 1),Turkey,181,82, Stocky
10141,Jorge Teixeira,68,CB,Normal,1300.0,2,3,L \ H,38,39,60,46,70,73,1,326,1605,Sint-Truiden,1A Pro League (BEL 1),Portugal,189,89, High & Average
10142,Kamil Çörekçi,68,RB,Normal,950.0,3,3,M \ M,81,50,62,70,63,68,1,394,1849,Hatayspor,Süper Lig (TUR 1),Turkey,173,74, Average
10143,Mathieu Gorgelin,68,GK,Normal,1200.0,1,2,M \ M,69,64,70,70,47,67,2,387,779,Havre AC,Ligue 2 (FRA 2),France,187,83, High & Average+
10144,Marvin Potzmann,68,LM,Normal,1500.0,3,3,M \ H,77,62,63,68,64,69,7,403,1872,LASK,Ö Bundesliga (AUT 1),Austria,180,78, Average
10145,Ryan Allsop,68,GK,Normal,1500.0,1,3,M \ M,68,65,66,69,42,66,3,376,841,Derby County,EFL Championship (ENG 2),England,189,80, High & Average
10146,Jake Forster-Caskey,68,CM,Normal,950.0,3,2,H \ M,70,62,66,69,63,70,1,400,1920,Charlton Ath,EFL League One (ENG 3),England,178,64, Average
10147,Colin Coosemans,68,GK,Normal,1500.0,1,4,M \ M,68,63,70,70,44,68,0,383,920,RSC Anderlecht,1A Pro League (BEL 1),Belgium,186,84, High & Average
10149,Mitchell te Vrede,68,ST,Normal,1500.0,2,3,M \ L,41,70,47,56,30,78,6,322,1549,Abha Club,MBS Pro League (SAU 1),Suriname,192,87, High & Average
10150,Marcelo Silva,68,CB,Normal,1500.0,2,3,M \ M,32,35,50,51,65,80,2,313,1541,Real Salt Lake,Major League Soccer,Uruguay,185,82, High & Stocky
10152,Alexander Merkel,68,CM,Normal,1400.0,3,3,M \ M,65,61,72,70,57,64,22,389,1890,Gaziantep,Süper Lig (TUR 1),Kazakhstan,179,72, Average
10153,Guangtai Jiang,68,CB,Normal,2200.0,3,2,M \ M,80,34,47,58,67,74,10,360,1633,Guangzhou,Chinese FA Super L. (CHN 1),China PR,181,76, Average
10154,Jordan Obita,68,LB,Normal,950.0,3,2,H \ M,66,63,67,68,67,69,0,400,1943,Wycombe,EFL League One (ENG 3),England,180,74, Lean
10155,Denis Thomalla,68,CF,Normal,700.0,3,3,M \ M,64,66,63,68,32,67,0,360,1743,1. FC Heidenheim,Bundesliga 2 (GER 2),Germany,186,75, High & Average+
10157,Michał Kucharczyk,68,RM,Normal,1100.0,3,3,H \ M,79,64,61,69,42,67,3,382,1825,Pogoń Szczecin,Polski Ekstraklasa (POL 1),Poland,178,72, Average
10158,Michal Frydrych,68,CB,Normal,1400.0,2,4,M \ M,58,55,58,52,68,75,1,366,1726,Wisła Kraków,Polski Ekstraklasa (POL 1),Czech Republic,188,83, High & Average
10159,Daniel Høegh,68,CB,Normal,1200.0,2,2,M \ M,36,40,50,49,68,73,-4,316,1522,FC Midtjylland,3F Superliga (DEN 1),Denmark,190,79, High & Average
10160,Julian Riedel,68,CB,Normal,1200.0,2,4,M \ H,73,37,54,62,68,72,-1,366,1702,Hansa Rostock,Bundesliga 2 (GER 2),Germany,182,76, Lean
10161,Louis Bostyn,68,GK,Normal,1000.0,1,3,M \ M,70,66,61,69,36,70,4,372,713,Zulte Waregem,1A Pro League (BEL 1),Belgium,196,86, High & Average
10162,Dario Tadić,68,ST,Normal,1100.0,3,4,M \ M,65,70,63,68,29,70,10,365,1805,TSV Hartberg,Ö Bundesliga (AUT 1),Austria,179,77, Stocky
10164,Benik Afobe,68,ST,Normal,1000.0,3,3,M \ M,72,68,59,66,29,72,7,366,1737,Millwall,EFL Championship (ENG 2),Congo DR,183,78, Average
10165,Zarek Valentin,68,RB,Normal,1300.0,3,4,H \ H,70,46,62,66,67,75,5,386,1778,Houston Dynamo,Major League Soccer,Puerto Rico,183,77, Average
10166,Josh Williams,68,CB,Normal,1100.0,2,3,M \ M,58,46,59,57,67,75,-2,362,1711,Columbus Crew SC,Major League Soccer,United States,188,88, High & Average
10167,Justin Meram,68,LM,Normal,900.0,3,4,M \ M,69,67,65,71,58,68,29,398,1908,Real Salt Lake,Major League Soccer,Iraq,185,75, High & Average
10168,Patric,68,ST,Normal,1000.0,3,3,M \ L,62,67,52,61,33,75,0,350,1658,Gamba Osaka,Meiji Yasuda J1 (JPN 1),Brazil,189,82, High & Average
10169,Jordan Clark,68,RW,Normal,800.0,3,4,H \ M,76,62,64,70,50,62,4,384,1801,Luton Town,EFL Championship (ENG 2),England,176,73, Average
10170,Josh Ruffels,68,LB,Normal,900.0,2,3,M \ M,66,51,63,65,64,69,14,378,1772,Huddersfield,EFL Championship (ENG 2),England,178,75, Lean
10171,Jimmy Maurer,68,GK,Normal,1000.0,1,3,M \ M,68,66,66,69,39,72,2,380,851,FC Dallas,Major League Soccer,United States,189,84, High & Average
10172,Alexander Milošević,68,CB,Normal,900.0,2,3,M \ M,55,53,57,56,68,73,-40,362,1690,AIK,Allsvenskan (SWE 1),Sweden,191,82, High & Average+
10173,Ke Li,68,CM,Normal,1400.0,3,3,M \ M,74,63,67,67,68,70,13,409,1959,Beijing Guoan,Chinese FA Super L. (CHN 1),China PR,171,70, Lean
10174,Nicolás Peñailillo,68,LWB,Sudamericana,900.0,3,2,H \ M,79,62,64,62,61,82,2,410,1891,Unión,CONMEBOL Sudamericana,Chile,186,75, High & Average+
10175,Il-Lok Yun,68,LM,Normal,1400.0,3,3,H \ M,72,62,64,69,46,67,4,380,1782,Ulsan Hyundai,K League 1 (KOR 1),Korea Republic,178,65, Average
10177,Amaury Escoto,68,ST,Normal,1300.0,3,4,M \ M,73,66,57,69,29,62,0,356,1654,Puebla,LIGA BBVA MX (MEX 1),Mexico,181,80, Average
10178,Georg Teigl,68,RM,Normal,1000.0,3,3,M \ M,85,55,61,66,59,71,9,397,1843,FK Austria Wien,Ö Bundesliga (AUT 1),Austria,183,78, Lean
10179,Tom Pietermaat,68,CDM,Normal,1200.0,2,3,M \ M,61,31,60,59,68,71,1,350,1675,K Beerschot VA,1A Pro League (BEL 1),Belgium,172,68, Average
10180,Gustav Valsvik,68,CB,Normal,850.0,2,2,M \ H,43,47,49,40,68,81,2,328,1511,Strømsgodset IF,Eliteserien (NOR 1),Norway,196,91, High & Average
10182,Matteo Tosetti,68,RM,Normal,1400.0,3,4,M \ M,77,57,67,66,41,55,-1,363,1698,FC Sion,Raiffeisen Super L. (SUI 1),Switzerland,177,70, Lean
10186,Martin Kobylański,68,CAM,Normal,1400.0,3,4,M \ M,71,69,68,68,38,56,8,370,1797,Braunschweig,3. Liga (GER 3),Poland,179,77, Average
10188,Yannick Stark,68,CDM,Normal,1200.0,2,4,H \ M,54,64,64,64,67,78,1,391,1908,Dynamo Dresden,Bundesliga 2 (GER 2),Germany,185,81, High & Average
10189,Charlie Wyke,68,ST,Normal,700.0,2,3,H \ M,62,68,57,65,37,79,5,368,1773,Wigan Athletic,EFL League One (ENG 3),England,188,80, High & Stocky
10190,Zinho Gano,68,ST,Normal,1400.0,3,3,M \ L,57,69,55,62,33,76,2,352,1631,Zulte Waregem,1A Pro League (BEL 1),Belgium,198,91, High & Average
10191,Cristian Herrera Pérez,68,RM,Normal,1200.0,3,3,H \ M,72,69,66,61,47,80,1,395,1843,UD Ibiza,LaLiga SmartBank (ESP 2),Spain,181,76, Average
10192,Aleksandar Trajkovski,68,ST,Normal,1300.0,3,4,M \ L,71,70,66,74,26,57,628,364,1750,Aalborg BK,3F Superliga (DEN 1),FYR Macedonia,179,78, Average
10194,Jak Alnwick,68,GK,Normal,700.0,1,2,M \ M,69,67,66,67,46,67,5,382,969,St. Mirren,Scottish Premiership (SPFL),England,187,82, High & Average
10195,Andreas Leitner,68,GK,Normal,1400.0,1,4,M \ M,69,68,62,70,24,65,1,358,719,Admira Wacker,Ö Bundesliga (AUT 1),Austria,184,72, Average
10196,Bror Blume,68,CM,Normal,1500.0,3,3,H \ M,73,61,64,70,61,70,2,399,1881,WSG Tirol,Ö Bundesliga (AUT 1),Denmark,178,73, Average
10198,Donovan Léon,68,GK,Normal,1000.0,1,2,M \ M,66,66,64,71,47,66,5,380,909,AJ Auxerre,Ligue 2 (FRA 2),France,187,94, High & Average
10199,Mason Bennett,68,LW,Normal,1400.0,3,3,H \ M,80,62,63,69,42,75,0,391,1819,Millwall,EFL Championship (ENG 2),England,178,64, Average
10200,Pierre-Yves Ngawa,68,CB,Normal,1400.0,2,3,M \ M,76,41,51,63,67,72,2,370,1678,OH Leuven,1A Pro League (BEL 1),Belgium,187,75, High & Average
10201,Curtis Thompson,68,CDM,Normal,850.0,3,3,M \ H,74,55,60,68,65,77,7,399,1870,Wycombe,EFL League One (ENG 3),England,178,77, Average
10205,Joseph Lopy,68,CDM,Normal,1300.0,2,3,H \ M,68,63,61,64,64,78,1,398,1857,FCSM,Ligue 2 (FRA 2),Senegal,181,68, Lean
10207,Kwang Min Ko,68,LB,Normal,1400.0,3,4,M \ M,86,58,61,67,61,55,2,388,1821,FC Seoul,K League 1 (KOR 1),Korea Republic,172,63, Lean
10208,Rudy Camacho,68,CB,Normal,1400.0,2,2,M \ H,38,42,62,57,67,77,3,343,1658,Impact Montréal,Major League Soccer,France,185,79, High & Average
10209,Tom Naylor,68,CDM,Normal,1100.0,2,3,M \ H,67,60,60,62,67,82,4,398,1854,Wigan Athletic,EFL League One (ENG 3),England,188,72, High & Average+
10211,Brad Potts,68,CAM,Normal,1100.0,3,2,H \ H,72,64,66,67,58,75,1,402,1827,Preston,EFL Championship (ENG 2),England,188,81, High & Average
10213,Juan Sánchez Sotelo,68,ST,Sudamericana,1000.0,2,4,M \ L,60,68,54,63,30,65,0,340,1651,Palestino,CONMEBOL Sudamericana,Argentina,180,81, Lean
10214,Stefan Thesker,68,CB,Normal,700.0,2,3,M \ M,47,38,49,51,70,71,8,326,1543,Holstein Kiel,Bundesliga 2 (GER 2),Germany,190,84, High & Average
10216,Ban Suk Oh,68,CB,Normal,1500.0,2,3,L \ H,35,24,37,50,70,75,3,291,1374,Incheon United,K League 1 (KOR 1),Korea Republic,190,81, High & Average
10217,Amari'i Bell,68,LB,Normal,1400.0,3,2,H \ M,77,49,57,64,63,67,4,377,1721,Luton Town,EFL Championship (ENG 2),Jamaica,180,77, Average
10220,Ewerton da Silva Pereira,68,CM,Normal,1300.0,3,3,M \ M,55,60,66,68,68,71,1,388,1909,Portimonense SC,Liga NOS (POR 1),Brazil,181,73, Lean
10221,Ivan Runje,68,CB,Normal,1500.0,2,2,M \ H,41,25,49,45,68,78,0,306,1416,Jagiellonia,Polski Ekstraklasa (POL 1),Croatia,192,87, High & Average
10222,Lars Veldwijk,68,ST,Normal,1500.0,3,4,M \ M,51,67,52,61,32,76,9,339,1590,Suwon FC,K League 1 (KOR 1),South Africa,197,94, High & Average
10223,Robin Pröpper,68,CB,Normal,1000.0,2,3,M \ H,38,52,59,56,69,76,8,350,1696,FC Twente,Eredivisie,Netherlands,190,78, High & Average
10226,Filip Starzyński,68,CAM,Normal,1000.0,3,3,M \ L,34,67,72,71,45,48,-1,337,1757,Zagłębie Lubin,Polski Ekstraklasa (POL 1),Poland,184,70, Lean
10227,Jordy Croux,68,RM,Normal,1000.0,3,4,M \ M,82,63,65,72,28,59,0,369,1737,Avispa Fukuoka,Meiji Yasuda J1 (JPN 1),Belgium,172,70, Average
10228,Enrico Valentini,68,RB,Normal,1400.0,3,3,M \ M,72,55,65,64,63,73,3,392,1881,1. FC Nürnberg,Bundesliga 2 (GER 2),Germany,182,80, Average
10229,Freddie Ladapo,68,ST,Normal,1500.0,3,4,M \ L,81,66,46,66,25,73,12,357,1627,Rotherham Utd,EFL League One (ENG 3),England,185,79, High & Average
10230,Sebastian Nachreiner,68,CB,Normal,1300.0,2,3,L \ M,51,23,40,37,70,70,4,291,1352,Jahn Regensburg,Bundesliga 2 (GER 2),Germany,187,77, High & Average
10231,Philipp Ziereis,68,CB,Normal,1200.0,2,3,M \ H,71,24,53,56,67,69,1,340,1555,FC St. Pauli,Bundesliga 2 (GER 2),Germany,189,82, High & Average+
10232,Chris Maxwell,68,GK,Normal,1500.0,1,3,M \ M,68,67,66,68,41,67,-1,377,822,Blackpool,EFL Championship (ENG 2),Wales,185,74, High & Average
10233,Kristoffer Haugen,68,LB,Normal,1000.0,3,3,H \ M,76,59,64,64,61,71,3,395,1844,Molde FK,Eliteserien (NOR 1),Norway,188,77, High & Average
10234,Mustafa Saymak,68,CAM,Normal,1500.0,3,3,M \ M,71,67,66,71,46,55,5,376,1820,PEC Zwolle,Eredivisie,Netherlands,169,63, Short & Lean-
10235,Éverton Luiz,68,CDM,Normal,1500.0,2,3,M \ M,48,55,65,67,67,66,1,368,1818,Real Salt Lake,Major League Soccer,Brazil,173,70, Average
10237,Benedikt Saller,68,RB,Normal,1400.0,3,3,H \ M,76,53,64,66,64,66,1,389,1817,Jahn Regensburg,Bundesliga 2 (GER 2),Germany,178,72, Average
10238,Abdullah Al Mayoof,68,GK,Normal,1500.0,1,3,M \ M,57,72,75,72,32,67,3,375,941,Al Hilal,MBS Pro League (SAU 1),Saudi Arabia,189,92, High & Stocky
10239,Salman Muwashar,68,RM,Normal,1400.0,3,3,H \ M,89,64,62,71,30,67,7,383,1805,Al Ahli,MBS Pro League (SAU 1),Saudi Arabia,176,64, Lean
10240,Thomas Pledl,68,RM,Normal,1400.0,3,4,M \ M,75,56,64,72,49,61,3,377,1812,Düsseldorf,Bundesliga 2 (GER 2),Germany,174,72, Average
10241,Michael Duffy,68,LM,Normal,1500.0,4,4,M \ M,81,61,63,68,44,67,6,384,1815,Dundalk,SSE Airtricity League (IRL 1),Republic of Ireland,179,75, Lean
10242,Denis Linsmayer,68,CDM,Normal,1500.0,2,3,M \ M,60,51,63,63,66,73,2,376,1764,FC Ingolstadt,Bundesliga 2 (GER 2),Germany,182,79, Average
10244,Khalid Boutaïb,68,ST,Normal,1000.0,3,3,M \ L,56,68,55,65,36,73,3,353,1682,Havre AC,Ligue 2 (FRA 2),Morocco,189,82, High & Average+
10245,Manuel Kuttin,68,GK,Normal,1400.0,1,3,M \ M,69,66,68,69,34,65,0,371,764,Wolfsberger AC,Ö Bundesliga (AUT 1),Austria,194,94, High & Average
10246,Alhaji Kamara,68,ST,Normal,1400.0,3,3,M \ M,77,64,52,65,29,78,12,365,1691,Randers FC,3F Superliga (DEN 1),Sierra Leone,180,73, Average
10249,Kook Young Han,68,CM,Normal,1000.0,3,3,M \ M,70,45,68,65,66,76,0,390,1821,Gangwon FC,K League 1 (KOR 1),Korea Republic,183,76, Average
10250,Per Kristian Bråtveit,68,GK,Normal,1500.0,1,3,M \ M,67,65,72,67,45,68,3,384,866,Nîmes Olympique,Ligue 2 (FRA 2),Norway,187,72, High & Average+
10251,Thibaut Peyre,68,CB,Normal,1500.0,2,3,M \ M,64,34,52,51,70,71,2,342,1602,KV Mechelen,1A Pro League (BEL 1),France,184,75, Lean
10252,Saleh Al Shehri,68,ST,Normal,700.0,3,3,H \ M,65,67,48,63,27,74,11,344,1626,Al Hilal,MBS Pro League (SAU 1),Saudi Arabia,182,77, Lean
10253,Caye Quintana,68,ST,Normal,1500.0,3,4,H \ L,77,66,49,69,35,60,-1,356,1654,Śląsk Wrocław,Polski Ekstraklasa (POL 1),Spain,180,74, Average
10254,David González Plata,68,RM,Normal,1100.0,3,3,M \ M,78,69,66,67,32,58,3,370,1818,UD Ibiza,LaLiga SmartBank (ESP 2),Spain,170,70, Short & Lean-
10255,Marcin Cebula,68,LF,Normal,1300.0,3,3,M \ M,83,63,66,71,53,66,10,402,1906,Raków Częstochowa,Polski Ekstraklasa (POL 1),Poland,177,65, Average
10256,Jackson Irvine,68,CM,Normal,1300.0,3,3,M \ M,59,65,65,67,67,76,5,399,1918,FC St. Pauli,Bundesliga 2 (GER 2),Australia,189,70, High & Average
10257,Paolo Faragò,68,RB,Normal,1000.0,3,3,M \ M,60,57,69,67,65,66,1,384,1775,Cagliari,Serie A TIM,Italy,187,80, High & Average
10258,Woon Jeong,68,CB,Normal,1100.0,3,3,M \ M,77,60,65,65,69,72,0,408,1910,Jeju United,K League 1 (KOR 1),Korea Republic,180,73, Average
10259,Josip Radošević,68,CDM,Normal,9000.0,2,3,M \ M,57,58,59,57,67,77,2,375,1778,Brøndby IF,3F Superliga (DEN 1),Croatia,180,78, Stocky
10260,Marc Schnatterer,68,RM,Normal,950.0,3,4,H \ M,70,72,71,68,35,57,23,373,1827,SV Waldhof,3. Liga (GER 3),Germany,180,75, Lean
10261,Tim Knipping,68,CB,Normal,1000.0,2,3,M \ M,50,33,44,50,68,75,7,320,1488,Dynamo Dresden,Bundesliga 2 (GER 2),Germany,191,90, High & Average
10262,Robert Leipertz,68,RM,Normal,1300.0,3,4,H \ M,77,67,62,66,35,72,2,379,1767,1. FC Heidenheim,Bundesliga 2 (GER 2),Germany,183,82, Average
10264,Dimitrij Nazarov,68,CAM,Normal,1000.0,3,4,M \ M,71,69,65,70,32,62,11,369,1778,Erzgebirge Aue,Bundesliga 2 (GER 2),Azerbaijan,184,73, Lean
10266,Alejandro Meleán,68,CB,Sudamericana,1000.0,2,3,H \ M,58,42,58,47,68,69,2,342,1624,Wilstermann,CONMEBOL Sudamericana,Bolivia,183,79, Average
10268,Sean Maguire,68,ST,Normal,1000.0,3,3,H \ M,87,64,55,73,36,65,42,380,1747,Preston,EFL Championship (ENG 2),Republic of Ireland,175,68, Lean
10269,Felix Lohkemper,68,ST,Normal,2500.0,3,3,M \ M,81,65,56,69,30,63,2,364,1703,1. FC Nürnberg,Bundesliga 2 (GER 2),Germany,179,76, Average
10270,Mouhamadou-Naby Sarr,68,CB,Normal,1500.0,2,3,M \ M,45,32,54,49,67,80,3,327,1478,Huddersfield,EFL Championship (ENG 2),Senegal,196,89, High & Average
10271,Johann Obiang,68,LWB,Normal,950.0,3,2,H \ M,82,52,60,67,63,59,1,383,1803,Rodez AF,Ligue 2 (FRA 2),Gabon,170,64, Short & Lean-
10272,Rafael Lima Pereira,68,ST,Libertadores,1500.0,4,3,H \ L,87,67,60,75,33,41,6,363,1734,The Strongest,CONMEBOL Libertadores,Brazil,164,60, Short & Lean
10273,Kensuke Nagai,68,ST,Normal,1000.0,2,4,H \ L,91,65,63,65,39,73,30,396,1872,F.C. Tokyo,Meiji Yasuda J1 (JPN 1),Japan,178,71, Average
10274,Awer Mabil,68,RW,Normal,1300.0,3,3,H \ L,89,60,63,68,33,55,15,368,1698,FC Midtjylland,3F Superliga (DEN 1),Australia,179,65, Lean
10275,Brede Mathias Moe,68,CB,Normal,1400.0,2,3,M \ M,68,43,51,56,67,73,7,358,1641,FK Bodø/Glimt,Eliteserien (NOR 1),Norway,184,80, Average
10276,Achille Anani,68,ST,Normal,900.0,3,3,M \ M,90,68,55,67,26,62,12,368,1682,Grenoble,Ligue 2 (FRA 2),Côte d'Ivoire,179,68, Average
10277,José Cevallos,68,CAM,Sudamericana,800.0,3,4,M \ M,67,72,68,65,46,69,3,387,1863,CS Emelec,CONMEBOL Sudamericana,Ecuador,186,76, High & Average
10279,Rhys Healey,68,ST,Normal,1300.0,2,3,H \ M,78,69,53,69,29,59,22,357,1671,Toulouse FC,Ligue 2 (FRA 2),England,180,72, Average
10280,Lee Evans,68,CDM,Normal,1000.0,2,4,M \ M,53,61,68,65,62,73,5,382,1837,Ipswich,EFL League One (ENG 3),Wales,186,88, High & Average
10281,Carlton Morris,68,ST,Normal,3800.0,3,3,M \ H,75,66,48,64,32,73,5,358,1644,Barnsley,EFL Championship (ENG 2),England,185,85, High & Stocky
10282,Samuel Asamoah,68,CM,Normal,1400.0,3,3,M \ H,73,59,67,71,62,69,4,401,1920,FC U Craiova 1948,Liga I (ROM 1),Ghana,163,64, Short & Lean-
10283,Sascha Horvath,68,RM,Normal,1400.0,3,4,M \ M,86,61,64,70,44,46,2,371,1790,LASK,Ö Bundesliga (AUT 1),Austria,168,60, Short & Lean
10284,Juan Cornejo,68,LB,Libertadores,1000.0,3,2,M \ M,75,57,63,64,65,69,-4,393,1843,Uni. Católica,CONMEBOL Libertadores,Chile,177,77, Average
10285,Victor Lekhal,68,CDM,Normal,700.0,3,2,L \ M,76,40,60,59,65,76,4,376,1743,Havre AC,Ligue 2 (FRA 2),Algeria,187,72, High & Average+
10290,Julián Quiñónes,68,CB,Sudamericana,1200.0,2,2,M \ M,56,35,41,42,69,79,-1,322,1466,Deportes Tolima,CONMEBOL Sudamericana,Colombia,195,86, High & Average
10291,Juan Mahecha,68,CDM,Sudamericana,1400.0,2,3,M \ H,55,60,68,66,66,63,-2,378,1881,La Equidad,CONMEBOL Sudamericana,Colombia,176,70, Lean
10292,Luis Pavez,68,LB,Normal,1500.0,2,2,M \ M,82,50,56,61,61,68,2,378,1726,FC Juárez,LIGA BBVA MX (MEX 1),Chile,175,67, Lean
10294,Jhon Freddy Pajoy,68,RM,Libertadores,1000.0,3,3,H \ L,81,62,64,71,29,54,2,361,1719,Junior,CONMEBOL Libertadores,Colombia,175,71, Average
10295,Jefferson Duque,68,ST,Libertadores,1200.0,3,2,M \ L,62,68,56,67,26,68,2,347,1660,Atl. Nacional,CONMEBOL Libertadores,Colombia,183,79, Stocky
10296,Viljar Vevatne,68,CB,Normal,1000.0,2,3,M \ M,71,56,54,61,67,77,2,386,1782,Viking FK,Eliteserien (NOR 1),Norway,183,73, Lean
10297,Ángel Zaldívar,68,ST,Normal,950.0,3,3,H \ L,76,67,61,70,43,69,-1,386,1816,Guadalajara,LIGA BBVA MX (MEX 1),Mexico,178,78, Average
10299,Henrik Bjørdal,68,CM,Normal,1000.0,3,3,H \ H,70,61,68,69,55,79,0,402,1846,Vålerenga Fotball,Eliteserien (NOR 1),Norway,188,86, High & Average
10300,Michał Nalepa,68,CB,Normal,1300.0,2,3,M \ M,46,42,48,50,67,82,5,335,1569,Lechia Gdańsk,Polski Ekstraklasa (POL 1),Poland,189,80, High & Average
10301,Claudio Sepúlveda,68,CDM,Sudamericana,1400.0,2,3,M \ M,65,59,62,65,61,75,3,387,1783,Huachipato FC,CONMEBOL Sudamericana,Chile,174,67, Lean
10302,Claudio Riaño,68,ST,Normal,1500.0,3,2,M \ M,70,66,61,68,22,66,1,353,1680,Central Córdoba,Primera División (ARG 1),Argentina,179,80, Average
10303,Juan Caicedo,68,ST,Sudamericana,1400.0,2,1,M \ L,65,67,56,62,33,67,2,350,1635,Deportes Tolima,CONMEBOL Sudamericana,Colombia,181,79, Average
10304,Dany Rosero,68,CB,Libertadores,1500.0,2,2,M \ H,63,38,48,51,68,78,0,346,1647,Junior,CONMEBOL Libertadores,Colombia,183,83, Stocky
10305,Gabriel Hachen,68,ST,Libertadores,1100.0,3,3,H \ M,81,66,61,74,31,48,0,361,1769,Defensa,CONMEBOL Libertadores,Argentina,168,68, Short and Balanced
10307,Axel Maraval,68,GK,Normal,1400.0,1,2,M \ M,71,64,65,70,41,69,1,380,816,USL Dunkerque,Ligue 2 (FRA 2),France,184,79, Average
10308,Emanuel Olivera,68,CB,Libertadores,950.0,2,2,L \ M,68,43,50,55,69,73,2,358,1656,Atl. Nacional,CONMEBOL Libertadores,Argentina,176,73, Average
10309,Erik Godoy,68,CB,Normal,1200.0,2,2,M \ M,56,31,53,50,67,77,2,334,1527,Whitecaps FC,Major League Soccer,Argentina,185,79, High & Average
10312,Martín Cauteruccio,68,ST,Normal,900.0,3,3,M \ M,64,69,61,68,36,69,0,367,1819,Aldosivi,Primera División (ARG 1),Uruguay,180,76, Average
10314,Gastón Gil Romero,68,CDM,Normal,1000.0,2,2,M \ H,68,53,60,64,65,73,0,383,1783,Aldosivi,Primera División (ARG 1),Argentina,177,74, Average
10315,Andrés Mehring,68,GK,Normal,1400.0,1,2,M \ M,67,65,66,67,47,69,0,381,881,Central Córdoba,Primera División (ARG 1),Argentina,191,82, High & Average
10316,Scott Hogan,68,ST,Normal,900.0,3,3,H \ L,80,63,52,68,30,59,3,352,1642,Birmingham City,EFL Championship (ENG 2),Republic of Ireland,180,64, Average
10317,Abdallah Ndour,68,LB,Normal,1300.0,2,3,M \ M,70,32,62,65,67,66,-1,362,1712,FCSM,Ligue 2 (FRA 2),Senegal,186,70, High & Average+
10318,Gaëtan Karlen,68,ST,Normal,850.0,2,3,M \ M,68,66,59,65,41,72,1,371,1773,FC Sion,Raiffeisen Super L. (SUI 1),Switzerland,188,81, High & Average
10320,Liam Lindsay,68,CB,Normal,1400.0,2,3,M \ H,44,34,47,52,69,75,1,321,1517,Preston,EFL Championship (ENG 2),Scotland,190,89, High & Average
10321,Lucas Bijker,68,LB,Normal,1500.0,3,3,M \ M,72,35,58,63,66,72,2,366,1710,KV Mechelen,1A Pro League (BEL 1),Netherlands,174,77, Stocky
10322,Willie Hortencio Barbosa,68,ST,Libertadores,1300.0,3,4,M \ M,85,64,61,81,35,45,12,371,1738,The Strongest,CONMEBOL Libertadores,Brazil,169,66, Short & Lean
10323,Jason McCarthy,68,RB,Normal,1000.0,2,3,H \ M,72,52,60,63,64,75,2,386,1809,Wycombe,EFL League One (ENG 3),England,186,80, High & Average
10325,Duncan Watmore,68,ST,Normal,1500.0,3,3,H \ M,81,67,62,68,36,61,10,375,1753,Middlesbrough,EFL Championship (ENG 2),England,175,72, Lean
10329,Jeppe Andersen,68,CM,Normal,1500.0,3,3,M \ H,71,61,65,68,61,81,-1,407,1938,Hammarby IF,Allsvenskan (SWE 1),Denmark,178,75, Stocky
10330,Jean Zimmer,68,RM,Normal,1500.0,2,3,M \ M,81,59,62,70,60,73,13,405,1882,Kaiserslautern,3. Liga (GER 3),Germany,171,72, Stocky
10331,Armando Sadiku,68,ST,Normal,1100.0,3,3,M \ M,70,68,50,64,38,69,3,359,1652,UD Las Palmas,LaLiga SmartBank (ESP 2),Albania,183,80, Average
10332,Marios Oikonomou,68,CB,Normal,1000.0,2,3,L \ M,47,24,46,49,70,72,0,308,1395,FC København,3F Superliga (DEN 1),Greece,189,85, High & Average
10334,Yuya Kubo,68,CM,Normal,1500.0,4,4,M \ M,73,64,67,72,60,68,4,404,1949,FC Cincinnati,Major League Soccer,Japan,178,73, Lean
10335,Sosha Makani,68,GK,Normal,1300.0,1,2,M \ M,69,66,60,73,44,68,-7,380,882,Mjøndalen IF,Eliteserien (NOR 1),Iran,192,80, High & Average
10337,Josip Elez,68,CB,Normal,1400.0,2,3,M \ H,60,60,60,62,66,72,11,380,1783,HNK Hajduk Split,Liga Hrvatska (CRO 1),Croatia,189,89, High & Average
10338,Sulayman Marreh,68,CDM,Normal,1400.0,2,3,L \ H,36,32,56,61,67,75,0,327,1556,KAA Gent,1A Pro League (BEL 1),Gambia,184,78, Average
10342,Josh Windass,68,ST,Normal,1400.0,3,3,H \ M,86,67,64,70,35,65,21,387,1835,Sheffield Wed,EFL League One (ENG 3),England,175,68, Average
10343,Michael Heinloth,68,RB,Normal,1500.0,2,4,M \ M,71,41,55,64,62,72,-1,365,1674,FC Ingolstadt,Bundesliga 2 (GER 2),Germany,177,77, Average
10344,Nehuén Paz,68,CB,Normal,1400.0,2,3,L \ M,40,41,51,54,70,74,6,330,1524,Crotone,Calcio B (ITA 2),Argentina,191,89, High & Average
10345,Gilbert Koomson,68,RW,Normal,1000.0,3,3,H \ M,89,62,63,68,39,63,9,384,1782,FK Bodø/Glimt,Eliteserien (NOR 1),Ghana,180,69, Average
10346,Cristian Cuevas,68,LB,Sudamericana,1000.0,3,3,H \ M,84,56,63,69,61,63,2,396,1845,Huachipato FC,CONMEBOL Sudamericana,Chile,175,70, Lean
